iter	MultiClass
0	1.086397899
1	1.074148369
2	1.062751617
3	1.051776588
4	1.041235874
5	1.031092261
6	1.021320003
7	1.012133615
8	1.003095296
9	0.9945695435
10	0.9864198675
11	0.9784383859
12	0.9705750678
13	0.9625328744
14	0.9552156263
15	0.9484804256
16	0.9412839829
17	0.9347796562
18	0.9281002768
19	0.9218221581
20	0.9157809847
21	0.9097993426
22	0.903809437
23	0.8977569081
24	0.892472891
25	0.8871463193
26	0.8821914395
27	0.8771770283
28	0.8719449536
29	0.8677094539
30	0.8627753735
31	0.8588044766
32	0.8546309817
33	0.850275857
34	0.8458988085
35	0.8416479059
36	0.8374043675
37	0.8335756376
38	0.8292665528
39	0.8253154434
40	0.8218141082
41	0.8185541591
42	0.8155785441
43	0.8120316188
44	0.808669921
45	0.8056325822
46	0.802696936
47	0.7990149266
48	0.7957058458
49	0.7925213931
50	0.7892683022
51	0.7866587014
52	0.7839074395
53	0.7815877944
54	0.7785945842
55	0.7750442298
56	0.7720226312
57	0.7693267408
58	0.7666487267
59	0.7644096935
60	0.7618266823
61	0.7594905101
62	0.7574425508
63	0.7549419504
64	0.7527031421
65	0.7501665643
66	0.7475192996
67	0.7455597099
68	0.7428612899
69	0.7407711696
70	0.7385572082
71	0.7363235154
72	0.7344827074
73	0.7318720948
74	0.7298162093
75	0.727411174
76	0.7257115212
77	0.7238958975
78	0.7219293934
79	0.71981021
80	0.7175313768
81	0.7155381707
82	0.7133617608
83	0.7115455187
84	0.7094996955
85	0.7076625978
86	0.7057838449
87	0.7041356848
88	0.7025975933
89	0.7005784722
90	0.6986185452
91	0.6969715657
92	0.6949152304
93	0.6934857457
94	0.6911142144
95	0.6894045555
96	0.6880583248
97	0.6866956795
98	0.6849231724
99	0.6836184845
100	0.6821215421
101	0.6804614084
102	0.6791892687
103	0.6773777487
104	0.6754834243
105	0.6735550338
106	0.6715671119
107	0.6701701755
108	0.668800953
109	0.6674376893
110	0.6656451698
111	0.6641506447
112	0.6625031593
113	0.6611237619
114	0.6598089553
115	0.6582556858
116	0.656769368
117	0.6554192023
118	0.6540994488
119	0.6524505018
120	0.6512585244
121	0.6500291642
122	0.6486362753
123	0.647053212
124	0.6455967442
125	0.6439402082
126	0.6422284693
127	0.6410584719
128	0.6395733346
129	0.6382516698
130	0.6372133835
131	0.6362222614
132	0.6345195731
133	0.6335548719
134	0.6321807587
135	0.6304007189
136	0.628659917
137	0.6274961032
138	0.6262099099
139	0.6248377643
140	0.6230837519
141	0.6220940351
142	0.6209369671
143	0.619647682
144	0.6178415023
145	0.6163695755
146	0.6148928704
147	0.6136158964
148	0.6127385529
149	0.6117523214
150	0.6105080643
151	0.6091657125
152	0.6075302008
153	0.6062947132
154	0.6047932174
155	0.6036226017
156	0.6022428108
157	0.6010440314
158	0.6000534152
159	0.5990967528
160	0.598220646
161	0.5969779629
162	0.5957488838
163	0.5947812032
164	0.5934355909
165	0.5926840561
166	0.5914537964
167	0.59004112
168	0.5885960638
169	0.5875811628
170	0.5864360123
171	0.5849268152
172	0.5834796228
173	0.5823769144
174	0.5815636558
175	0.5807651254
176	0.5796927167
177	0.5781821704
178	0.5768795624
179	0.575370309
180	0.5743204987
181	0.5735969025
182	0.5727103398
183	0.5718125904
184	0.5709026986
185	0.5702624689
186	0.5696032386
187	0.5681201251
188	0.5667069989
189	0.5658904797
190	0.5647550544
191	0.5640722139
192	0.5632177498
193	0.5622429862
194	0.5612299965
195	0.5598699371
196	0.558443488
197	0.5574548393
198	0.556257634
199	0.5552190104
