iter	Passed	Remaining
0	15	3004
1	26	2621
2	40	2671
3	52	2571
4	64	2502
5	81	2648
6	97	2686
7	109	2617
8	120	2561
9	130	2488
10	141	2431
11	152	2394
12	164	2362
13	174	2320
14	186	2295
15	196	2257
16	206	2223
17	217	2198
18	229	2183
19	242	2180
20	256	2183
21	267	2160
22	277	2133
23	290	2132
24	302	2116
25	313	2098
26	323	2075
27	334	2056
28	346	2041
29	356	2021
30	367	2001
31	377	1983
32	389	1969
33	399	1949
34	422	1994
35	439	2001
36	454	2002
37	467	1993
38	477	1969
39	489	1958
40	509	1974
41	518	1952
42	529	1934
43	553	1962
44	564	1943
45	579	1939
46	590	1923
47	599	1898
48	609	1876
49	619	1858
50	629	1837
51	638	1818
52	648	1799
53	660	1786
54	669	1766
55	678	1744
56	688	1726
57	698	1708
58	708	1692
59	718	1676
60	729	1661
61	739	1645
62	749	1629
63	759	1613
64	770	1600
65	783	1589
66	792	1573
67	802	1558
68	811	1540
69	822	1527
70	832	1512
71	843	1499
72	854	1485
73	864	1472
74	873	1456
75	882	1439
76	893	1426
77	914	1430
78	925	1416
79	934	1402
80	958	1408
81	970	1397
82	982	1384
83	992	1371
84	1004	1359
85	1015	1345
86	1024	1331
87	1035	1318
88	1044	1302
89	1056	1290
90	1066	1278
91	1080	1268
92	1091	1256
93	1103	1243
94	1111	1228
95	1122	1215
96	1132	1202
97	1141	1188
98	1150	1173
99	1163	1163
100	1172	1149
101	1182	1136
102	1194	1125
103	1207	1114
104	1217	1101
105	1230	1091
106	1254	1089
107	1263	1076
108	1271	1061
109	1282	1049
110	1294	1038
111	1304	1024
112	1315	1012
113	1324	999
114	1335	987
115	1345	974
116	1367	969
117	1387	964
118	1408	958
119	1431	954
120	1440	940
121	1450	927
122	1461	915
123	1472	902
124	1482	889
125	1493	877
126	1503	864
127	1514	851
128	1531	842
129	1540	829
130	1550	816
131	1560	803
132	1571	791
133	1580	778
134	1598	769
135	1611	758
136	1623	746
137	1632	733
138	1642	720
139	1652	708
140	1662	695
141	1672	683
142	1682	670
143	1692	658
144	1703	646
145	1720	636
146	1731	624
147	1740	611
148	1748	598
149	1758	586
150	1768	573
151	1777	561
152	1788	549
153	1797	536
154	1808	525
155	1818	513
156	1831	501
157	1841	489
158	1851	477
159	1861	465
160	1871	453
161	1882	441
162	1904	432
163	1915	420
164	1935	410
165	1944	398
166	1955	386
167	1970	375
168	1983	363
169	1993	351
170	2003	339
171	2011	327
172	2021	315
173	2032	303
174	2040	291
175	2050	279
176	2060	267
177	2070	255
178	2080	244
179	2090	232
180	2100	220
181	2110	208
182	2120	196
183	2132	185
184	2144	173
185	2152	162
186	2162	150
187	2174	138
188	2186	127
189	2197	115
190	2206	103
191	2215	92
192	2224	80
193	2234	69
194	2256	57
195	2279	46
196	2303	35
197	2314	23
198	2325	11
199	2334	0
