window_index,subject_id,target,X_DN_HistogramMode_5,X_DN_HistogramMode_10,X_CO_f1ecac,X_CO_FirstMin_ac,X_CO_HistogramAMI_even_2_5,X_CO_trev_1_num,X_MD_hrv_classic_pnn40,X_SB_BinaryStats_mean_longstretch1,X_SB_TransitionMatrix_3ac_sumdiagcov,X_PD_PeriodicityWang_th0_01,X_CO_Embed2_Dist_tau_d_expfit_meandiff,X_IN_AutoMutualInfoStats_40_gaussian_fmmi,X_FC_LocalSimple_mean1_tauresrat,X_DN_OutlierInclude_p_001_mdrmd,X_DN_OutlierInclude_n_001_mdrmd,X_SP_Summaries_welch_rect_area_5_1,X_SB_BinaryStats_diff_longstretch0,X_SB_MotifThree_quantile_hh,X_SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,X_SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,X_SP_Summaries_welch_rect_centroid,X_FC_LocalSimple_mean3_stderr,Y_DN_HistogramMode_5,Y_DN_HistogramMode_10,Y_CO_f1ecac,Y_CO_FirstMin_ac,Y_CO_HistogramAMI_even_2_5,Y_CO_trev_1_num,Y_MD_hrv_classic_pnn40,Y_SB_BinaryStats_mean_longstretch1,Y_SB_TransitionMatrix_3ac_sumdiagcov,Y_PD_PeriodicityWang_th0_01,Y_CO_Embed2_Dist_tau_d_expfit_meandiff,Y_IN_AutoMutualInfoStats_40_gaussian_fmmi,Y_FC_LocalSimple_mean1_tauresrat,Y_DN_OutlierInclude_p_001_mdrmd,Y_DN_OutlierInclude_n_001_mdrmd,Y_SP_Summaries_welch_rect_area_5_1,Y_SB_BinaryStats_diff_longstretch0,Y_SB_MotifThree_quantile_hh,Y_SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,Y_SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,Y_SP_Summaries_welch_rect_centroid,Y_FC_LocalSimple_mean3_stderr,Z_DN_HistogramMode_5,Z_DN_HistogramMode_10,Z_CO_f1ecac,Z_CO_FirstMin_ac,Z_CO_HistogramAMI_even_2_5,Z_CO_trev_1_num,Z_MD_hrv_classic_pnn40,Z_SB_BinaryStats_mean_longstretch1,Z_SB_TransitionMatrix_3ac_sumdiagcov,Z_PD_PeriodicityWang_th0_01,Z_CO_Embed2_Dist_tau_d_expfit_meandiff,Z_IN_AutoMutualInfoStats_40_gaussian_fmmi,Z_FC_LocalSimple_mean1_tauresrat,Z_DN_OutlierInclude_p_001_mdrmd,Z_DN_OutlierInclude_n_001_mdrmd,Z_SP_Summaries_welch_rect_area_5_1,Z_SB_BinaryStats_diff_longstretch0,Z_SB_MotifThree_quantile_hh,Z_SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,Z_SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,Z_SP_Summaries_welch_rect_centroid,Z_FC_LocalSimple_mean3_stderr,enmo_DN_HistogramMode_5,enmo_DN_HistogramMode_10,enmo_CO_f1ecac,enmo_CO_FirstMin_ac,enmo_CO_HistogramAMI_even_2_5,enmo_CO_trev_1_num,enmo_MD_hrv_classic_pnn40,enmo_SB_BinaryStats_mean_longstretch1,enmo_SB_TransitionMatrix_3ac_sumdiagcov,enmo_PD_PeriodicityWang_th0_01,enmo_CO_Embed2_Dist_tau_d_expfit_meandiff,enmo_IN_AutoMutualInfoStats_40_gaussian_fmmi,enmo_FC_LocalSimple_mean1_tauresrat,enmo_DN_OutlierInclude_p_001_mdrmd,enmo_DN_OutlierInclude_n_001_mdrmd,enmo_SP_Summaries_welch_rect_area_5_1,enmo_SB_BinaryStats_diff_longstretch0,enmo_SB_MotifThree_quantile_hh,enmo_SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,enmo_SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,enmo_SP_Summaries_welch_rect_centroid,enmo_FC_LocalSimple_mean3_stderr,anglez_DN_HistogramMode_5,anglez_DN_HistogramMode_10,anglez_CO_f1ecac,anglez_CO_FirstMin_ac,anglez_CO_HistogramAMI_even_2_5,anglez_CO_trev_1_num,anglez_MD_hrv_classic_pnn40,anglez_SB_BinaryStats_mean_longstretch1,anglez_SB_TransitionMatrix_3ac_sumdiagcov,anglez_PD_PeriodicityWang_th0_01,anglez_CO_Embed2_Dist_tau_d_expfit_meandiff,anglez_IN_AutoMutualInfoStats_40_gaussian_fmmi,anglez_FC_LocalSimple_mean1_tauresrat,anglez_DN_OutlierInclude_p_001_mdrmd,anglez_DN_OutlierInclude_n_001_mdrmd,anglez_SP_Summaries_welch_rect_area_5_1,anglez_SB_BinaryStats_diff_longstretch0,anglez_SB_MotifThree_quantile_hh,anglez_SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,anglez_SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,anglez_SP_Summaries_welch_rect_centroid,anglez_FC_LocalSimple_mean3_stderr,light_DN_HistogramMode_5,light_DN_HistogramMode_10,light_CO_f1ecac,light_CO_FirstMin_ac,light_CO_HistogramAMI_even_2_5,light_CO_trev_1_num,light_MD_hrv_classic_pnn40,light_SB_BinaryStats_mean_longstretch1,light_SB_TransitionMatrix_3ac_sumdiagcov,light_PD_PeriodicityWang_th0_01,light_CO_Embed2_Dist_tau_d_expfit_meandiff,light_IN_AutoMutualInfoStats_40_gaussian_fmmi,light_FC_LocalSimple_mean1_tauresrat,light_DN_OutlierInclude_p_001_mdrmd,light_DN_OutlierInclude_n_001_mdrmd,light_SP_Summaries_welch_rect_area_5_1,light_SB_BinaryStats_diff_longstretch0,light_SB_MotifThree_quantile_hh,light_SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,light_SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,light_SP_Summaries_welch_rect_centroid,light_FC_LocalSimple_mean3_stderr
0,2265,,-0.3584446276502524,-0.6347257723227081,11.808581384711493,2,0.31412083874497476,0.18649254552635872,0.9246231155778895,25.0,0.027777777777777776,7,0.22914923589187616,1.0,0.034482758620689655,0.8899999999999999,0.1499999999999999,0.8156922649329618,6.0,1.861786381506298,0.14285714285714285,0.8571428571428571,0.0981747704246875,0.5937057162313446,-0.05904839675988338,-0.3058166464464842,1.9013196740751135,7,0.09157290194101624,0.0910230964504955,0.964824120603015,18.0,0.03944773175542407,17,0.15213882337310872,6.0,0.06666666666666667,0.3700000000000001,-0.12,0.5781932486808752,5.0,2.072649660419377,0.14285714285714285,0.14285714285714285,0.39269908169875,0.9069251383620766,0.46115549800263533,0.6800976182238496,3.7893808747222772,10,0.1704633152176198,0.16186426025659684,0.9597989949748744,18.0,0.013850415512465374,22,0.14928293811273954,9.0,0.1,0.17500000000000004,-0.43000000000000005,0.6709536146447932,5.0,1.91571299582667,0.8571428571428571,0.8333333333333334,0.26998061866789064,0.8328063329107112,0.07228519611849493,-0.34396710685375403,3.344456502559146,13,0.097046585799841,1.1364651339691056,0.8844221105527639,13.0,0.00636574074074074,18,0.05581653628874952,7.0,0.125,-0.30500000000000005,0.15999999999999992,0.658503408860586,7.0,2.0323547785785157,0.21428571428571427,0.8333333333333334,0.3190680038802344,0.8372545820252582,0.2300585650265452,0.9340587412782975,4.476952290166295,10,0.20283111794494849,0.20803268872437095,0.9246231155778895,23.0,0.013850415512465374,23,0.13375954529692938,9.0,0.1,0.17500000000000004,-0.43999999999999995,0.676392968651543,5.0,1.914479670271489,0.8571428571428571,0.8571428571428571,0.26998061866789064,0.8243783358281997,0.5459384663538203,0.0890668949945459,2.734377844393062,7,0.07439369687758869,-1.1624227251251495,0.40703517587939697,9.0,0.010629251700680272,32,0.06787923236648598,5.0,0.2857142857142857,-0.29000000000000004,0.24,0.6968322001492756,18.0,1.8337445897362716,0.16666666666666666,0.8571428571428571,0.3681553890925781,0.8581326970188393
1,3042,,-0.6417106777088757,-0.41534837902109073,2.991346876271045,4,0.16356530510608244,-0.2334265720153068,0.9045226130653267,17.0,0.0625,6,0.16132529814552612,3.0,0.022727272727272728,-0.815,0.08000000000000007,0.6285415835208614,5.0,2.026020943158912,0.8571428571428571,0.7380952380952381,0.29452431127406253,0.785857547870987,0.07885313939284433,-0.19404992995927223,2.0148134011332184,8,0.123351934663981,0.33441180167579854,0.9698492462311558,9.0,0.011574074074074073,15,0.10592270227467589,8.0,0.125,0.26,-0.65,0.5702211393579946,6.0,2.0772430983917016,0.6904761904761905,0.8571428571428571,0.46633015951726564,0.9463562937018104,0.2744469368194331,-0.03159929270094486,1.3246393387845867,6,0.09369125014123075,-0.47167645112770185,0.9346733668341709,10.0,0.002498958767180341,18,0.07655168868554346,3.0,0.25,-0.685,-0.655,0.4322829591749686,6.0,2.0567993103433677,0.2619047619047619,0.5952380952380952,0.6626797003666406,1.0557514939329664,-0.05007212482256751,-0.46360194025331813,1.8500308816491509,4,0.060052659310469665,0.6597776811372034,0.8994974874371859,20.0,0.03292181069958847,5,0.054532435984993674,3.0,0.047619047619047616,0.19999999999999996,-0.54,0.4919728399710363,8.0,1.971110689096474,0.14285714285714285,0.8333333333333334,0.6135923151542969,0.9651507298903456,0.37741366458823866,0.044049686944578226,1.2490017328697758,6,0.09791425293732021,-0.7971641034745403,0.9597989949748744,11.0,0.007080383173677636,17,0.06557870444363456,3.0,0.25,-0.685,-0.655,0.4311980671784651,6.0,2.0741050333522,0.23809523809523808,0.6190476190476191,0.6626797003666406,1.0545004822161728,0.44999174060540675,0.1019233424462941,2.81026455407043,10,0.0940342355254381,0.16747784905002114,0.23618090452261306,8.0,0.04009794918885828,34,0.07478448839722546,4.0,0.16666666666666666,0.18500000000000005,-0.06000000000000005,0.7447378943029902,8.0,1.7248550969542102,0.14285714285714285,0.7142857142857143,0.3681553890925781,0.8361421770166919
2,1647,,-0.28855862410464145,-0.5012495739574543,1.556821273595472,7,0.10319149958793795,-0.02089571717908387,0.9346733668341709,13.0,0.01020408163265306,7,0.1138823555615923,6.0,0.07142857142857142,-0.10999999999999999,0.1200000000000001,0.49661402982025005,5.0,2.0552685550899015,0.14285714285714285,0.6666666666666666,0.6381360077604687,0.9565773157948169,-0.03416558282071669,-0.2847159123650366,1.543057549545909,8,0.05332097235287735,0.0839473097532759,0.964824120603015,14.0,0.0017006802721088433,10,0.1103567050104179,6.0,0.14285714285714285,-0.125,0.08499999999999996,0.49136897702151816,6.0,2.124942047364162,0.3333333333333333,0.8571428571428571,0.6135923151542969,0.9987015331639121,0.5357250502012744,0.29749123353217294,3.5408249058597594,13,0.15027541254279903,0.05040525564609746,0.964824120603015,12.0,0.07407407407407407,22,0.12539939206024692,12.0,0.03225806451612903,-0.06,-0.72,0.6402939286526282,5.0,2.023834481585202,0.8571428571428571,0.8095238095238095,0.3190680038802344,0.8368838962313392,-0.26085413940179014,-0.550162220828496,3.275643451958721,9,0.13319014947134508,-0.4262599456643683,0.8994974874371859,14.0,0.014462809917355372,16,0.09910422510532273,9.0,0.1111111111111111,0.09000000000000008,-0.42250000000000004,0.7067458578243341,5.0,1.9766610491177081,0.21428571428571427,0.8333333333333334,0.3190680038802344,0.812206280744212,0.45995927825180716,0.19653281453771732,3.3339958519423556,12,0.1890037999716115,0.139644160541768,0.9698492462311558,12.0,0.07407407407407407,19,0.13302778985316974,11.0,0.03225806451612903,-0.07499999999999996,-0.72,0.6247785590013978,5.0,2.044842305790041,0.8571428571428571,0.8095238095238095,0.3190680038802344,0.8544950719932123,0.15496694720000836,-0.10036960322921129,3.868658861954927,8,0.11175692084263893,0.19243925724488248,0.2914572864321608,9.0,0.020833333333333336,18,0.13101849306908406,6.0,0.2857142857142857,0.24,-0.03750000000000003,0.7936307968026749,42.0,1.9073500244370774,0.19047619047619047,0.8571428571428571,0.29452431127406253,0.7282259311203083
3,736,,0.7560312245609839,0.931311581871216,17.138907951240004,5,0.35314706535930396,0.023398659839423148,0.8994974874371859,26.0,0.0625,6,0.274476119295911,4.0,0.023809523809523808,0.51,-0.07999999999999996,0.789395186450012,6.0,1.8346177435468864,0.14285714285714285,0.8571428571428571,0.04908738521234375,0.6722274290980711,-0.3710641884206668,-0.11168474938445966,3.482615259740324,7,0.20655392291637295,0.10229678559796775,0.9296482412060302,14.0,0.0625,25,0.1694753803619135,6.0,0.022727272727272728,-0.235,0.71,0.6722620306342861,6.0,2.033362729420271,0.16666666666666666,0.8571428571428571,0.3190680038802344,0.8082145512799624,-0.07690994877990276,0.2582455844244027,1.7360130321043736,5,0.12501549922935343,0.4798589862258668,0.9246231155778895,15.0,0.0020576131687242796,6,0.10208532069296065,4.0,0.09090909090909091,-0.615,-0.6599999999999999,0.5211498045035817,7.0,2.0841672476027506,0.23809523809523808,0.5,0.5890486225481251,0.9012635822674605,-0.12049967594020772,-0.47769790887221564,2.5588610018520046,8,0.0454540887065709,-0.3866030796873237,0.8944723618090452,11.0,0.10416666666666666,14,0.08467154754626768,7.0,0.020833333333333332,0.49,-0.53,0.6409387323164386,6.0,1.9232424388802398,0.16666666666666666,0.7857142857142857,0.4172427743049219,0.8883347245350491,-0.530661558537675,-0.1472733800710211,1.7896249128736872,6,0.09586660699348483,0.3005570867507974,0.8944723618090452,15.0,0.008101851851851851,21,0.10757345440785905,5.0,0.125,0.07000000000000006,-0.43000000000000005,0.5393175127619879,7.0,2.05706183284319,0.19047619047619047,0.7857142857142857,0.5890486225481251,0.8927029996608397,0.6088586007172008,0.1709603836377782,1.602323474100781,7,0.046815614990828675,-1.7025081747645765,0.34673366834170855,8.0,0.022108843537414963,35,0.02538642658193979,5.0,0.14285714285714285,0.43999999999999995,-0.10499999999999998,0.5056758969470607,6.0,2.006944421939995,0.6190476190476191,0.8095238095238095,0.5399612373357813,1.0041769452045557
4,1044,,0.8297091316265723,0.5999494749957844,3.9719159213953317,9,0.2676723306990721,0.021962416006547112,0.9346733668341709,34.0,0.03401360544217687,11,0.1793394921297244,8.0,0.04,-0.29000000000000004,-0.605,0.7654163821711727,5.0,2.023819088910113,0.7857142857142857,0.7380952380952381,0.26998061866789064,0.7486631868846585,-0.007380909900943922,0.23958313724290672,4.534716183380745,7,0.18297654247101947,0.05234215577907008,0.9296482412060302,15.0,0.046296296296296294,9,0.26213266309763056,6.0,0.034482758620689655,0.18999999999999995,-0.625,0.6997413641746856,6.0,2.01683136514886,0.8571428571428571,0.7380952380952381,0.26998061866789064,0.8055122641600854,-0.1200450563966402,0.13565471702856036,2.9294953803308887,4,0.16771623431355925,-0.07055558816524461,0.9597989949748744,20.0,0.034722222222222224,4,0.20923330000968218,3.0,0.0625,0.09000000000000008,-0.7075,0.6689810117999453,5.0,1.995249695164414,0.8571428571428571,0.7380952380952381,0.26998061866789064,0.8434574736452003,-0.25641435505212884,-0.5646056318736836,3.9920093034144877,11,0.1942378875489452,0.13897327869724366,0.8391959798994975,15.0,0.04000000000000001,17,0.1980604220886216,10.0,0.02702702702702703,0.31499999999999995,-0.55,0.7549112395259637,7.0,1.8762913427769212,0.2619047619047619,0.8571428571428571,0.24543692606171874,0.7650942943546595,-0.23595904550413005,0.05717584155978983,2.905940493526009,4,0.13835514456792894,-0.0354489008592625,0.9447236180904522,20.0,0.015779092702169626,4,0.19322309564646614,3.0,0.06666666666666667,0.10000000000000009,-0.55,0.6682990453948408,6.0,1.9971837091457991,0.8571428571428571,0.7380952380952381,0.29452431127406253,0.8482187438786553,-0.6605705648429481,-0.22749066854788924,1.905101091320209,6,0.2227814787025832,0.2228969198317983,0.6080402010050251,58.0,0.030470914127423816,7,0.0672919567468987,5.0,0.1,0.17999999999999994,0.33000000000000007,0.55455669981216,7.0,1.8544547879732178,0.14285714285714285,0.8571428571428571,0.46633015951726564,0.9333845046383454
5,179,,0.38065637917905565,0.5647558045594087,3.0130243852100436,6,0.20604729985247042,0.06569733610860082,0.9246231155778895,29.0,0.005208333333333334,8,0.2114785641355986,5.0,0.043478260869565216,0.18999999999999995,-0.010000000000000009,0.6613837454875684,8.0,1.8965714738396482,0.14285714285714285,0.8095238095238095,0.29452431127406253,0.8225938834296094,0.023980113091569444,0.22445697551562066,2.548926995713402,5,0.1999613023484788,0.11787036097428986,0.9195979899497487,25.0,0.020833333333333332,9,0.16463796298204963,4.0,0.043478260869565216,-0.10999999999999999,0.2849999999999999,0.5717585209236067,8.0,1.9162150117304737,0.23809523809523808,0.8571428571428571,0.44178646691109374,0.8809372774076512,-0.21687498258044752,-0.870382618844355,2.778639796402195,7,0.1747474320448961,0.08268333987292693,0.9045226130653267,21.0,0.020833333333333336,7,0.1686134925121047,6.0,0.043478260869565216,-0.61,-0.09499999999999997,0.6209861619621849,7.0,2.005992206165919,0.6428571428571429,0.7380952380952381,0.34361169648640627,0.856064363246464,-0.25771963049114954,-0.5400729976987991,1.3947855560332014,4,0.05405046723877318,-0.29817446948393106,0.8241206030150754,9.0,0.01582673885880883,8,0.09000716787615153,4.0,0.25,0.15999999999999992,-0.19749999999999995,0.3520717494357271,7.0,1.9185099826766234,0.8095238095238095,0.5714285714285714,0.7363107781851562,1.0685798050624646,0.026552216799909767,-0.6969517062533958,2.9244901134891603,7,0.17092649569488452,0.09376255999574423,0.8894472361809045,16.0,0.020833333333333336,7,0.16805964870766968,6.0,0.043478260869565216,-0.61,-0.09999999999999998,0.6292192943753672,6.0,1.9996270557860198,0.6428571428571429,0.7380952380952381,0.34361169648640627,0.8428882263419432,0.19793179564492958,-0.07867794060514305,8.34495986889659,16,0.19862640207691948,0.07238136310875355,0.2613065326633166,19.0,0.03645833333333333,53,0.23339729429047892,15.0,0.08333333333333333,0.41999999999999993,-0.15500000000000003,0.8859854295708322,17.0,1.6754478341489096,0.14285714285714285,0.7380952380952381,0.12271846303085937,0.551420110318433
6,2334,,0.1615214563622115,-0.17501712908214945,0.9981874352334033,3,0.10526969810468484,1.6773611487450413,0.9396984924623115,14.0,0.017006802721088433,3,0.06807144622976725,2.0,0.14285714285714285,-0.92,0.2849999999999999,0.4045354515883568,5.0,2.1355705134906904,0.30952380952380953,0.7380952380952381,0.9572040116407031,1.0238812256829735,0.19601175586409558,0.4230826179664611,1.6686257295789568,5,0.10466237889415737,0.03729631359389028,0.949748743718593,19.0,0.009114583333333332,8,0.14492288679086615,4.0,0.08333333333333333,0.41500000000000004,-0.07999999999999996,0.47311373021249514,6.0,2.099516868591398,0.14285714285714285,0.7380952380952381,0.6381360077604687,0.9894419859501837,0.3902424732600154,0.1329654133648437,2.4154634341054813,7,0.1472439676947597,0.2428059610708591,0.914572864321608,18.0,0.013605442176870746,8,0.16559071436044193,6.0,0.038461538461538464,0.27,-0.485,0.6098102166330694,6.0,1.9721211234722222,0.8571428571428571,0.7380952380952381,0.3681553890925781,0.8789408682800206,-0.7157664342588035,-0.4643300141761527,1.6018185560367817,5,0.08773357231254353,-0.21690629083209684,0.914572864321608,11.0,0.046296296296296294,7,0.10241184302206718,4.0,0.03125,0.08000000000000007,-0.395,0.4653577658158186,6.0,2.0559240433298402,0.14285714285714285,0.7380952380952381,0.6626797003666406,0.9809956388912937,0.23852646051916082,0.520083979023616,2.2645522074741367,7,0.1474782122900258,0.21671505758825146,0.949748743718593,18.0,0.013605442176870746,7,0.15113463970260527,6.0,0.038461538461538464,0.2649999999999999,-0.45499999999999996,0.591456406814376,6.0,1.9743795080387,0.8571428571428571,0.7380952380952381,0.3681553890925781,0.8877104973221307,0.21199996002320698,-0.16842346922910223,1.9739373780219145,7,0.10693852143818557,-1.2017483909608608,0.5678391959798995,12.0,0.008264462809917356,15,0.06370091555266832,4.0,0.3333333333333333,0.24,0.16999999999999993,0.6090183610454315,24.0,1.8439885746414821,0.16666666666666666,0.6666666666666666,0.44178646691109374,0.9573125225758771
7,129,,0.3403154338711063,0.6084673179029724,2.8863836273427474,5,0.17099339523778465,-0.029652413373786837,0.964824120603015,16.0,0.008230452674897118,13,0.10455881599021817,4.0,0.05,0.10750000000000004,-0.61,0.6359444952969123,7.0,2.0590753299036884,0.14285714285714285,0.7380952380952381,0.4172427743049219,0.8617281416003182,-0.385785819886004,-0.07722990360553939,1.5406144627062202,7,0.09065922933333556,-0.39759436676619736,0.9195979899497487,10.0,0.002551020408163265,13,0.1410000009475894,7.0,0.14285714285714285,0.41500000000000004,-0.030000000000000027,0.4997060007614944,6.0,2.0675589895039783,0.21428571428571427,0.8333333333333334,0.5645049299419531,0.9749136247124387,-0.6483382421917984,-0.40910239233177437,2.1239150358641883,5,0.18049878617192056,0.07482275822241255,0.9095477386934674,10.0,0.017532325224632914,7,0.11298025025193387,4.0,0.2,-0.63,-0.53,0.5684919053700906,6.0,2.1117789806404774,0.14285714285714285,0.7380952380952381,0.5645049299419531,0.9451010302046082,-0.3586960402933125,-0.6397676683166769,1.8291636082573626,5,0.07645921487957041,0.6954174611312139,0.8994974874371859,12.0,0.046296296296296294,5,0.07989840121253321,4.0,0.03225806451612903,0.3600000000000001,-0.5349999999999999,0.5469536838847918,6.0,1.8617863815062983,0.7380952380952381,0.6428571428571429,0.46633015951726564,0.9290335551599772,-0.7327685988992081,-0.4634494091561656,2.241224111659215,5,0.20225676217465083,0.08193800103169915,0.9095477386934674,10.0,0.011834319526627219,7,0.12250709674141051,4.0,0.06666666666666667,-0.625,-0.53,0.579614386768784,6.0,2.1157735432041007,0.14285714285714285,0.7380952380952381,0.5399612373357813,0.9340896679999784,0.2711912585602506,-0.05583723516861888,3.8621095675551618,13,0.1635572986791608,0.2207197241410141,0.2914572864321608,19.0,0.006802721088435373,20,0.06804103656463037,12.0,0.038461538461538464,0.565,-0.18500000000000005,0.7108147972199939,64.0,1.7220811361220687,0.40476190476190477,0.7380952380952381,0.29452431127406253,0.7702316359811159
8,130,,0.21294220129485109,0.46481528962593127,2.6132047140843557,12,0.10003505306353129,0.1012770214360386,0.9597989949748744,22.0,0.008230452674897118,14,0.1536886815556075,11.0,0.045454545454545456,-0.06999999999999995,0.2250000000000001,0.5977444765566899,6.0,2.0232438173273457,0.8571428571428571,0.6904761904761905,0.34361169648640627,0.8764222449939816,0.35872212540436876,-0.271357730601737,3.8197380821760722,7,0.15225913660974535,0.061673221754813656,0.9045226130653267,14.0,0.006510416666666666,8,0.21670131218987976,6.0,0.08333333333333333,-0.22999999999999998,0.5549999999999999,0.6212795254327947,5.0,1.9789817503029754,0.8571428571428571,0.8571428571428571,0.26998061866789064,0.8486414319608923,-0.39647956033658893,-0.17136630991954638,2.78025494792913,8,0.1886932401543781,-0.02972598382093039,0.914572864321608,16.0,0.01318027210884354,10,0.2054868828731404,6.0,0.14285714285714285,-0.855,-0.05500000000000005,0.6848925405862661,7.0,1.9812121217014418,0.8571428571428571,0.5952380952380952,0.3190680038802344,0.8601965854913255,-0.17392652820443188,-0.5643600200160017,1.4950465308751952,5,0.04853872453811946,0.7782854627944741,0.8743718592964824,8.0,0.01790633608815427,5,0.0720893581396689,4.0,0.1111111111111111,0.47,-0.11499999999999999,0.4811471307835501,6.0,1.9851356889588494,0.47619047619047616,0.7380952380952381,0.6626797003666406,0.9864632725755695,-0.4902127616345442,-0.23948476127618412,2.833294472297787,8,0.17649137154682706,-0.059747569997443725,0.949748743718593,16.0,0.0011574074074074078,10,0.17576325609095061,6.0,0.125,-0.87,-0.18999999999999995,0.6868600369710403,7.0,1.9900934167891289,0.8571428571428571,0.5952380952380952,0.3190680038802344,0.8552818966827465,0.7424040056988126,0.24368158890734798,1.8676212793741154,7,0.06897628558711981,-1.5135536594698829,0.32663316582914576,7.0,0.011631466176920721,39,0.019708486158014866,4.0,0.16666666666666666,0.4750000000000001,-0.04500000000000004,0.5976431356185643,10.0,1.7374495928025548,0.16666666666666666,0.7380952380952381,0.46633015951726564,0.943126272578576
9,201,,0.12542176909778646,-0.1432069372239943,1.499321411554547,3,0.10747991277903238,0.22399930557915346,0.9396984924623115,17.0,0.04000000000000001,4,0.11064707718500065,2.0,0.029411764705882353,-0.6699999999999999,0.31000000000000005,0.442711843815431,10.0,2.0525796627552406,0.8095238095238095,0.5238095238095238,0.7363107781851562,1.0260181315476584,0.014713657612931863,0.2757991355182906,1.6323040158868904,4,0.032149977335496245,-0.15094254458601564,0.9396984924623115,20.0,0.003596571778389959,13,0.1462886830109835,2.0,0.3333333333333333,-0.010000000000000009,-0.32999999999999996,0.49470164478728795,6.0,2.01220592163798,0.16666666666666666,0.7619047619047619,0.6135923151542969,1.055231002613808,0.29887420121991937,0.04587643770914179,5.422390174699772,14,0.2032320774476533,0.2151474270847013,0.8894472361809045,14.0,0.033854166666666664,42,0.17815323645830175,11.0,0.08333333333333333,-0.835,-0.06999999999999995,0.6589236276035885,5.0,2.0274736413172154,0.8571428571428571,0.4523809523809524,0.26998061866789064,0.8045796053637556,-0.13036700541509028,-0.4343343095373209,3.649792390219594,2,0.08454707252425019,-0.6172040874014225,0.7889447236180904,16.0,0.013605442176870746,7,0.08512286506208534,1.0,0.03571428571428571,0.020000000000000018,-0.14,0.6445685248993415,5.0,1.7972782687343765,0.8571428571428571,0.7857142857142857,0.29452431127406253,0.8323502840945554,0.21708015393775404,-0.06806448320698288,5.5968531340678895,14,0.25721979654453236,0.22087636208240177,0.9095477386934674,14.0,0.03776041666666667,42,0.17041460451689291,11.0,0.08333333333333333,-0.84,-0.5549999999999999,0.6795250839124123,8.0,2.031614791302833,0.8571428571428571,0.7380952380952381,0.26998061866789064,0.7913324780071292,0.4005799896372204,-0.12194330852229551,2.604373912819338,4,0.13905120841357227,-4.748864910731386,0.21608040201005024,22.0,0.013333333333333334,5,0.011970848973825433,3.0,0.05263157894736842,0.19999999999999996,-0.12,0.5725665179279295,34.0,1.3847132099450596,0.8571428571428571,0.8571428571428571,0.3190680038802344,0.8920719633894317
