rank,candidate_id,length,shapelet_abs_cohen_d,mean_dtw_to_motifs,mean_dtw_to_discords,median_dtw_to_motifs,median_dtw_to_discords,min_dtw_to_motifs,min_dtw_to_discords,closer_to_by_mean_dtw,closer_to_by_median_dtw,closer_to_by_min_dtw
1,142,20,0.3461,1.1053,0.8534,1.1726,0.8462,0.3956,0.5547,discords,discords,motifs
2,49,10,0.3293,1.2365,1.0242,1.3806,1.0174,0.2048,0.6134,discords,discords,motifs
3,203,30,0.3167,1.1362,0.8838,1.1951,0.8793,0.3906,0.4372,discords,discords,motifs
4,120,20,0.2985,1.0436,0.8773,1.0001,0.8774,0.6402,0.4909,discords,discords,discords
5,90,20,0.2976,0.9669,1.0074,0.9826,1.0367,0.4401,0.5563,motifs,motifs,motifs
6,278,40,0.2922,1.0846,0.9367,1.1225,0.9238,0.4153,0.4761,discords,discords,motifs
7,40,10,0.2912,0.9901,1.2475,1.181,1.2472,0.2685,0.7039,motifs,motifs,motifs
8,311,40,0.2901,0.9933,0.8401,0.9722,0.8404,0.456,0.4259,discords,discords,discords
9,10,10,0.286,1.3121,0.9544,1.3119,0.9619,0.4024,0.4845,discords,discords,motifs
10,281,40,0.2857,1.302,1.0423,1.3856,1.0418,0.3545,0.5286,discords,discords,motifs
11,238,30,0.2813,1.026,0.8158,1.0148,0.7983,0.508,0.4907,discords,discords,discords
12,194,30,0.281,1.0104,0.8523,1.0651,0.8472,0.3703,0.4828,discords,discords,motifs
13,261,40,0.2751,0.9359,0.9559,0.9399,0.9348,0.3336,0.5117,motifs,discords,motifs
14,77,10,0.2729,1.1294,1.0669,1.0066,1.0548,0.4072,0.5491,discords,motifs,motifs
15,297,40,0.2699,1.0841,0.8913,1.1289,0.8705,0.4168,0.4962,discords,discords,motifs
16,207,30,0.2671,1.0274,0.8418,1.0698,0.8336,0.4336,0.4829,discords,discords,motifs
17,12,10,0.2634,1.2302,1.191,1.1747,1.2051,0.4012,0.4641,discords,motifs,motifs
18,219,30,0.2618,1.1173,0.886,1.1959,0.8895,0.3348,0.4133,discords,discords,motifs
19,78,10,0.2614,1.0412,1.1833,1.1565,1.1599,0.2243,0.6208,motifs,motifs,motifs
20,182,30,0.2606,1.1937,0.8769,1.2667,0.8657,0.4544,0.5563,discords,discords,motifs
