rank,candidate_id,length,source_target,source_subject_id,source_series_index,source_start,shapelet_abs_cohen_d,shapelet_cohen_d_1_vs_0,mean_distance_to_motifs,mean_distance_to_discords,median_distance_to_motifs,median_distance_to_discords,min_distance_to_motifs,min_distance_to_discords,mean_discord_minus_motif,median_discord_minus_motif,min_discord_minus_motif,closer_to_by_mean,closer_to_by_min,mean_distance_to_motifs_target_0,mean_distance_to_motifs_target_1,mean_distance_to_discords_target_0,mean_distance_to_discords_target_1
1,142,20,1,1721,1262,46,0.34608004093743594,0.34608004093743594,1.425967236540004,1.3893601949416332,1.4422644630795722,1.3985132356022894,0.7781941214713187,0.8384006760472359,-0.036607041598370804,-0.043751227477282884,0.06020655457591717,discords,motifs,1.4289197060715038,1.423014767008504,1.3973345772776067,1.3813858126056597
2,49,10,0,1935,2157,176,0.3292649152933174,-0.3292649152933174,1.4879496732822728,1.3888147379348077,1.542256927346124,1.3947461492387672,0.4340676576153175,0.7841885680153649,-0.09913493534746509,-0.1475107781073568,0.35012091040004734,discords,motifs,1.4942722638539805,1.4816270827105649,1.37905005798003,1.3985794178895854
3,203,30,1,1267,613,120,0.3166892695413967,0.3166892695413967,1.4731461113298816,1.4041421512954777,1.5123389174610695,1.439017654318971,0.6109510971000071,0.7068519422860189,-0.0690039600344039,-0.07332126314209853,0.09590084518601183,discords,motifs,1.4653111099347316,1.4809811127250314,1.4153296584964654,1.39295464409449
4,120,20,0,924,1306,126,0.2984572928672972,0.2984572928672972,1.4027321011544855,1.407942200660109,1.4344250754589547,1.4298765509960703,0.9697363608434189,0.8573490483038919,0.005210099505623456,-0.004548524462884451,-0.11238731253952694,motifs,discords,1.3919806373385484,1.413483564970423,1.4168470080125364,1.3990373933076816
5,90,20,0,799,603,140,0.2976439855692267,0.2976439855692267,1.284864920237948,1.4060945387709411,1.368691431415623,1.4277079484264923,0.6457614549694126,0.9579227869954958,0.12122961853299308,0.059016517010869185,0.3121613320260832,motifs,motifs,1.2700691575404166,1.2996606829354798,1.4099338476844854,1.402255229857397
6,278,40,0,1524,2933,66,0.29216598808062944,0.29216598808062944,1.4729455352389134,1.4377322281746432,1.507990584645455,1.4541027117314014,0.6108085059771251,0.8781342250880914,-0.03521330706427017,-0.053887872914053725,0.26732571911096625,discords,motifs,1.4683154327429064,1.47757563773492,1.441199047126601,1.4342654092226856
7,40,10,1,969,215,175,0.2912459977732879,0.2912459977732879,1.1114363666914973,1.4081378663467738,1.2996918370168449,1.3998112138052168,0.2906476422686259,0.728657277753909,0.2967014996552766,0.1001193767883719,0.4380096354852831,motifs,motifs,1.09410068492202,1.1287720484609745,1.4015518833548655,1.4147238493386822
8,311,40,0,1412,1575,35,0.29013599792981337,0.29013599792981337,1.4342722445260305,1.419950421264432,1.4591153058605661,1.4318858947384832,0.992608436111752,1.0,-0.014321823261598476,-0.02722941112208299,0.007391563888248021,discords,motifs,1.436211181638129,1.4323333074139317,1.4131474535426571,1.426753388986207
9,10,10,1,1205,145,105,0.2859985040907145,-0.2859985040907145,1.514399001423917,1.3728207016847997,1.4738026928452705,1.4076910537058864,0.8670168116970367,0.6368647966995428,-0.14157829973911729,-0.06611163913938412,-0.23015201499749394,discords,discords,1.5230059806843086,1.5057920221635255,1.3859633701717609,1.3596780331978389
10,281,40,1,1088,41,114,0.2856555249398804,-0.2856555249398804,1.5550844515056383,1.355151638481487,1.6513642984574544,1.3717214526198744,0.5997240782336817,0.7738128381450033,-0.19993281302415133,-0.2796428458375799,0.17408875991132167,discords,motifs,1.5817219602983017,1.5284469427129752,1.3414193651717163,1.3688839117912577
11,238,30,0,3887,1181,108,0.28130156138220075,0.28130156138220075,1.4045594898003138,1.3956071120484372,1.412052683465975,1.4122621496500578,1.0,0.9270205702288491,-0.008952377751876517,0.00020946618408279605,-0.0729794297711509,discords,discords,1.4047702450291701,1.4043487345714574,1.4228642530466382,1.368349971050236
12,194,30,0,2184,2186,148,0.2810056151653682,0.2810056151653682,1.435456459932937,1.3888696669249763,1.4635108582628988,1.4028636781169945,0.8079391773084589,0.8960950019400951,-0.04658679300796065,-0.06064718014590431,0.08815582463163618,discords,motifs,1.4366678057145663,1.4342451141513073,1.3908341856635282,1.3869051481864243
13,261,40,1,2854,2020,19,0.27506066185313083,0.27506066185313083,1.3601056538195706,1.4379889388622016,1.4181982301801708,1.4603070481399967,0.5576901702482582,1.0000000000000002,0.07788328504263098,0.042108817959825906,0.44230982975174205,motifs,motifs,1.3469186199783663,1.373292687660775,1.4376355416974127,1.4383423360269907
14,77,10,1,1647,1296,104,0.2728862686156628,0.2728862686156628,1.3584999047494106,1.3836144042981515,1.4625952464407377,1.412742638909669,0.6536773632391111,0.6066497239374141,0.0251144995487409,-0.04985260753106879,-0.047027639301696955,motifs,discords,1.358906065585423,1.358093743913398,1.3778374019717425,1.3893914066245605
15,297,40,1,1110,711,24,0.2698964307445239,0.2698964307445239,1.4501141152710797,1.427706165249594,1.4798500197551965,1.442808709664578,0.6927378588948526,1.0,-0.022407950021485767,-0.037041310090618396,0.3072621411051474,discords,motifs,1.446062020504425,1.4541662100377342,1.4399496645329692,1.4154626659662184
