rank,candidate_id,length,source_target,source_subject_id,source_series_index,source_start,shapelet_abs_cohen_d,shapelet_cohen_d_1_vs_0,dtw_window_fraction,dtw_window_radius,mean_dtw_to_motifs,mean_dtw_to_discords,median_dtw_to_motifs,median_dtw_to_discords,min_dtw_to_motifs,min_dtw_to_discords,mean_discord_minus_motif_dtw,median_discord_minus_motif_dtw,min_discord_minus_motif_dtw,closer_to_by_mean_dtw,closer_to_by_median_dtw,closer_to_by_min_dtw,mean_dtw_to_motifs_target_0,mean_dtw_to_motifs_target_1,mean_dtw_to_discords_target_0,mean_dtw_to_discords_target_1
1,142,20,1,1721,1262,46,0.34608004093743594,0.34608004093743594,0.2,4,1.105297724013964,0.8534112641405447,1.172595546840773,0.8461722079141003,0.3956347462061787,0.5546869741439054,-0.2518864598734194,-0.32642333892667263,0.15905222793772672,discords,discords,motifs,1.1043666058759876,1.1062288421519402,0.8576908419668731,0.8491316863142162
2,49,10,0,1935,2157,176,0.3292649152933174,-0.3292649152933174,0.2,2,1.2365419818704433,1.0241550842588512,1.3805774774712238,1.0174023395992173,0.2048437613037048,0.613433890071259,-0.21238689761159213,-0.3631751378720065,0.40859012876755424,discords,discords,motifs,1.2682899266982248,1.2047940370426615,1.0149380107788597,1.0333721577388424
3,203,30,1,1267,613,120,0.3166892695413967,0.3166892695413967,0.2,6,1.136152199624169,0.8838456447615132,1.195084592319228,0.879334658559263,0.39059021714212505,0.4371502218885614,-0.25230655486265585,-0.31574993375996496,0.046560004746436345,discords,discords,motifs,1.1188622660269842,1.1534421332213536,0.8871023377122168,0.8805889518108095
4,120,20,0,924,1306,126,0.2984572928672972,0.2984572928672972,0.2,4,1.0436011367276987,0.8773252781122116,1.0000508835005446,0.8774311844614037,0.6402377161924006,0.4908875589906453,-0.1662758586154871,-0.12261969903914094,-0.14935015720175526,discords,discords,discords,1.0342485565384456,1.0529537169169518,0.8894562278257131,0.8651943283987101
5,90,20,0,799,603,140,0.2976439855692267,0.2976439855692267,0.2,4,0.9668551780732559,1.0074251140290031,0.9826456134146249,1.0366751853872918,0.44012778007418607,0.5563302058509866,0.040569935955747205,0.05402957197266689,0.11620242577680051,motifs,motifs,motifs,0.951654198294428,0.9820561578520838,1.015995608414873,0.9988546196431332
6,278,40,0,1524,2933,66,0.29216598808062944,0.29216598808062944,0.2,8,1.0846009691767482,0.936737300952951,1.1224726856900173,0.9237718210729556,0.4152558798379967,0.47611647868774665,-0.14786366822379715,-0.1987008646170617,0.060860598849749925,discords,discords,motifs,1.0901969473223014,1.0790049910311952,0.9184808296370498,0.9549937722688522
7,40,10,1,969,215,175,0.2912459977732879,0.2912459977732879,0.2,2,0.9901221286480624,1.2474575612680843,1.1809588472653816,1.2471754494341303,0.2685370674137191,0.7038721848006415,0.2573354326200219,0.0662166021687487,0.43533511738692243,motifs,motifs,motifs,0.9634854769033705,1.0167587803927542,1.2431723258685752,1.251742796667593
8,311,40,0,1412,1575,35,0.29013599792981337,0.29013599792981337,0.2,8,0.9933162974459813,0.8400951602194563,0.9721713780134228,0.8404295246415391,0.4560212969796474,0.4259035928766004,-0.15322113722652497,-0.1317418533718837,-0.030117704103046983,discords,discords,discords,0.9954832345754444,0.9911493603165181,0.8200380791575005,0.860152241281412
9,10,10,1,1205,145,105,0.2859985040907145,-0.2859985040907145,0.2,2,1.3120661160447389,0.9543628024812187,1.311886271140241,0.9618570885664803,0.4024439542136621,0.4845372829835991,-0.35770331356352014,-0.3500291825737607,0.08209332876993702,discords,discords,motifs,1.3248862821079332,1.299245949981544,0.968165970886934,0.9405596340755035
10,281,40,1,1088,41,114,0.2856555249398804,-0.2856555249398804,0.2,8,1.3019579841116593,1.0423379090782643,1.3856387538927248,1.0417798261461875,0.3545153552451557,0.5286473690729614,-0.259620075033395,-0.34385892774653737,0.1741320138278057,discords,discords,motifs,1.3349588190136308,1.2689571492096878,1.033750669310347,1.0509251488461815
